timestamp,x,y,p,u,v,r,x_sensor,y_sensor,p_sensor,u_sensor,v_sensor,r_sensor,steering,throttle
1738702670.7179427,290463.1277200194,4117796.4414263056,-1.7824312784228724,2.076549465916465,1.1177868771466342,-0.23540005247228923,290463.20945056935,4117796.445682786,-1.8116416769847294,2.076549465916465,1.394751682649309,-0.23686832189559937,2000.0,1667.0
1738702670.7210116,290463.20576309634,4117796.212109012,-1.803940762449786,2.069127838109332,1.1215300535316097,-0.22753382062656038,290463.2924280856,4117796.210450162,-1.8335156535876038,2.069127838109332,1.4181528957394303,-0.22914370894432068,2000.0,1667.0
1738702670.7630215,290463.20576309634,4117796.212109012,-1.803940762449786,2.069127838109332,1.1215300535316097,-0.22753382062656038,290463.2924280856,4117796.210450162,-1.8335156535876038,2.069127838109332,1.4181528957394303,-0.22914370894432068,2000.0,1667.0
1738702670.8570502,290463.28484372504,4117795.978613289,-1.8248105988609298,2.0642486022765416,1.1319317097371793,-0.22775952611842765,290463.3928857156,4117795.9636789467,-1.8576923655573274,2.0642486022765416,1.553243408053432,-0.22999949753284454,2000.0,1667.0
1738702670.863,290463.28484372504,4117795.978613289,-1.8248105988609298,2.0642486022765416,1.1319317097371793,-0.22775952611842765,290463.3928857156,4117795.9636789467,-1.8576923655573274,2.0642486022765416,1.553243408053432,-0.22999949753284454,2000.0,1667.0
1738702670.923223,290463.3620421757,4117795.7417348926,-1.8452301266316224,2.0614820596340717,1.1441162508387104,-0.22628325774444097,290463.47558680957,4117795.717350099,-1.8776848893188158,2.0614820596340717,1.50308032540406,-0.228768453001976,2000.0,1667.0
1738702670.9631286,290463.3620421757,4117795.7417348926,-1.8452301266316224,2.0614820596340717,1.1441162508387104,-0.22628325774444097,290463.47558680957,4117795.717350099,-1.8776848893188158,2.0614820596340717,1.50308032540406,-0.228768453001976,2000.0,1667.0
1738702671.0137722,290463.44187820714,4117795.4996597273,-1.8641832839946015,2.061813220649258,1.1625913849027263,-0.22149351815943938,290463.575768012,4117795.4594826577,-1.8972038962366016,2.061813220649258,1.50308032540406,-0.22485250234603882,2000.0,1667.0
1738702671.0654726,290463.44187820714,4117795.4996597273,-1.8641832839946015,2.061813220649258,1.1625913849027263,-0.22149351815943938,290463.575768012,4117795.4594826577,-1.8972038962366016,2.061813220649258,1.50308032540406,-0.22485250234603882,2000.0,1667.0
1738702671.1133537,290463.5175583149,4117795.2627719436,-1.8832089057403067,2.0526737387691134,1.1788452230652036,-0.2185322214675194,290463.6504201549,4117795.246663677,-1.9213820272789477,2.0526737387691134,1.6875888074721588,-0.22165144979953766,2000.0,1667.0
1738702671.1712909,290463.5175583149,4117795.2627719436,-1.8832089057403067,2.0526737387691134,1.1788452230652036,-0.2185322214675194,290463.6504201549,4117795.246663677,-1.9213820272789477,2.0526737387691134,1.6875888074721588,-0.22165144979953766,2000.0,1667.0
1738702671.2129502,290463.5939645311,4117795.0210062047,-1.9021680622532828,2.0464482284707866,1.2001885439165625,-0.22143948204107092,290463.7417230986,4117794.989017421,-1.9438094672919484,2.0464482284707866,1.6551619686743901,-0.22490057349205017,2000.0,1667.0
1738702671.2759209,290463.5939645311,4117795.0210062047,-1.9021680622532828,2.0464482284707866,1.2001885439165625,-0.22143948204107092,290463.7417230986,4117794.989017421,-1.9438094672919484,2.0464482284707866,1.6551619686743901,-0.22490057349205017,2000.0,1667.0
1738702671.3183804,290463.6692170529,4117794.777528268,-1.9210807502549518,2.0391094548098216,1.2235203583173617,-0.22084704160844476,290463.82442421257,4117794.742688577,-1.9667839245884382,2.0391094548098216,1.641176823172662,-0.22434012591838837,2000.0,1667.0
1738702671.3631344,290463.6692170529,4117794.777528268,-1.9210807502549518,2.0391094548098216,1.2235203583173617,-0.22084704160844476,290463.82442421257,4117794.742688577,-1.9667839245884382,2.0391094548098216,1.641176823172662,-0.22434012591838837,2000.0,1667.0
1738702671.425527,290463.73947455554,4117794.5327112493,-1.940154533921829,2.031152937377129,1.245442874674654,-0.21430911412953613,290463.88936878456,4117794.4968020986,-1.9905108837197456,2.031152937377129,1.597702018713431,-0.21712186932563782,2000.0,1667.0
1738702671.46306,290463.73947455554,4117794.5327112493,-1.940154533921829,2.031152937377129,1.245442874674654,-0.21430911412953613,290463.88936878456,4117794.4968020986,-1.9905108837197456,2.031152937377129,1.597702018713431,-0.21712186932563782,2000.0,1667.0
1738702671.5308366,290463.8092329973,4117794.2845291034,-1.9589391436787202,2.0232408701543507,1.2716249034912794,-0.2101127604688572,290463.9717934695,4117794.239377026,-2.016530620445608,2.0232408701543507,1.6864349988615457,-0.21289482712745667,2000.0,1667.0
1738702671.564096,290463.8092329973,4117794.2845291034,-1.9589391436787202,2.0232408701543507,1.2716249034912794,-0.2101127604688572,290463.9717934695,4117794.239377026,-2.016530620445608,2.0232408701543507,1.6864349988615457,-0.21289482712745667,2000.0,1667.0
1738702671.613811,290463.8757179341,4117794.0336617664,-1.977462294074536,2.0160024137747574,1.2977069663653258,-0.20262682424246162,290464.03646161396,4117793.9823943214,-2.0384801374541484,2.0160024137747574,1.6864349988615457,-0.20500808954238892,2000.0,1667.0
1738702671.6732917,290463.8757179341,4117794.0336617664,-1.977462294074536,2.0160024137747574,1.2977069663653258,-0.20262682424246162,290464.03646161396,4117793.9823943214,-2.0384801374541484,2.0160024137747574,1.6864349988615457,-0.20500808954238892,2000.0,1667.0
